DATAFLOW,LAST UPDATE,freq,wst_oper,waste,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,IE,2021,147,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,IE,2022,144,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,IS,2022,159,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,IT,2020,136,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,IT,2021,140,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,IT,2022,139,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,LT,2020,136,e,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,LT,2021,139,e,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,LT,2022,140,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,LU,2020,147,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,LU,2021,127,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,LU,2022,122,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,LV,2020,145,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,LV,2021,130,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,LV,2022,124,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,MT,2020,160,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,MT,2021,156,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,MT,2022,162,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,NL,2020,161,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,NL,2021,148,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,NL,2022,129,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,NO,2020,165,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,NO,2021,159,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,NO,2022,165,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,PL,2020,120,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,PL,2021,122,e,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,PL,2022,123,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,PT,2020,175,e,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,PT,2021,181,e,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,PT,2022,184,e,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,RO,2020,166,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,RO,2021,177,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,RO,2022,181,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,SE,2020,121,e,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,SE,2021,118,e,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,SE,2022,117,e,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,SI,2020,74,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,SI,2021,73,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,SI,2022,71,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,SK,2020,107,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,SK,2021,101,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,SK,2022,106,,
